id,why_correct,why_others_wrong,cites
BAR-MCQ-BUSI-0011,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; $5000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0012,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0013,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; $5000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0014,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0015,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; $10000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0016,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$10000000; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0017,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0018,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0019,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; $10000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0020,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0021,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0022,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0023,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; $25000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0024,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; $25000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0025,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0026,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$5000000; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0027,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0028,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$10000000; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0029,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; $25000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0030,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0031,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0032,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; $25000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0033,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$10000000; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0034,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$25000000; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0035,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$25000000; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0036,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$10000000; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0037,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$25000000; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0038,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; $25000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0039,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$5000000; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0040,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; $25000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0041,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; $25000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0042,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; $5000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0043,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; $25000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0044,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0045,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; $10000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0046,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0047,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0048,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$25000000; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0049,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0050,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0051,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0052,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$5000000; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0053,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0054,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; $5000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0055,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$25000000; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0056,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; $25000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0057,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0058,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0059,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0060,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$25000000; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0061,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; $10000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0062,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0063,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$5000000; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0064,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$10000000; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0065,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; $25000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0066,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$5000000; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0067,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; $10000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0068,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$10000000; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0069,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0070,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0071,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0072,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; $25000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0073,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; $25000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0074,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0075,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0076,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0077,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; $10000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0078,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$25000000; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0079,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0080,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; $10000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0081,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0082,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$5000000; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0083,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$5000000; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0084,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$5000000; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0085,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; $5000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0086,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0087,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; $5000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0088,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$5000000; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0089,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$5000000; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0090,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$10000000; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0091,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0092,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0093,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0094,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; $25000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0095,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0096,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; $5000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0097,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0098,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; $5000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0099,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; $5000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0100,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; $5000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0101,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; $25000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0102,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$5000000; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0103,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; $5000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0104,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; $10000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0105,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$5000000; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0106,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0107,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0108,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$25000000; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0109,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,0; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0110,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$10000000; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0111,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; $25000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0112,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$5000000; ${price - bv},"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0113,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; $10000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0114,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,$25000000; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0115,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; $25000000,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-BUSI-0116,ASC 805-30-30-1: Goodwill = Consideration transferred - FV of identifiable net assets acquired. Book value is irrelevant.,${price - bv}; 0,"ASC 805-30-30-1, ASC 805-20-30-1"
BAR-MCQ-FORE-0117,"ASC 830-30: When foreign currency is functional currency, use translation (current rate method). Monetary & nonmonetary assets at current rate.",No translation - functional currency = reporting currency; Translation - use average rate for all assets,"ASC 830-30-45-3, ASC 830-30-45-9"
BAR-MCQ-FORE-0118,"ASC 830-30: When foreign currency is functional currency, use translation (current rate method). Monetary & nonmonetary assets at current rate.",Translation - use average rate for all assets; Remeasurement - use temporal method,"ASC 830-30-45-3, ASC 830-30-45-9"
BAR-MCQ-FORE-0119,"ASC 830-30: When foreign currency is functional currency, use translation (current rate method). Monetary & nonmonetary assets at current rate.",No translation - functional currency = reporting currency; Translation - use average rate for all assets,"ASC 830-30-45-3, ASC 830-30-45-9"
BAR-MCQ-FORE-0120,"ASC 830-30: When foreign currency is functional currency, use translation (current rate method). Monetary & nonmonetary assets at current rate.",Remeasurement - use temporal method; Translation - use average rate for all assets,"ASC 830-30-45-3, ASC 830-30-45-9"
BAR-MCQ-FORE-0121,"ASC 830-30: When foreign currency is functional currency, use translation (current rate method). Monetary & nonmonetary assets at current rate.",Remeasurement - use temporal method; No translation - functional currency = reporting currency,"ASC 830-30-45-3, ASC 830-30-45-9"
BAR-MCQ-FORE-0122,"ASC 830-30: When foreign currency is functional currency, use translation (current rate method). Monetary & nonmonetary assets at current rate.",Remeasurement - use temporal method; Translation - use average rate for all assets,"ASC 830-30-45-3, ASC 830-30-45-9"
BAR-MCQ-FORE-0123,"ASC 830-30: When foreign currency is functional currency, use translation (current rate method). Monetary & nonmonetary assets at current rate.",Translation - use average rate for all assets; No translation - functional currency = reporting currency,"ASC 830-30-45-3, ASC 830-30-45-9"
BAR-MCQ-FORE-0124,"ASC 830-30: When foreign currency is functional currency, use translation (current rate method). Monetary & nonmonetary assets at current rate.",Translation - use average rate for all assets; Remeasurement - use temporal method,"ASC 830-30-45-3, ASC 830-30-45-9"
BAR-MCQ-FORE-0125,"ASC 830-30: When foreign currency is functional currency, use translation (current rate method). Monetary & nonmonetary assets at current rate.",No translation - functional currency = reporting currency; Remeasurement - use temporal method,"ASC 830-30-45-3, ASC 830-30-45-9"
BAR-MCQ-FORE-0126,"ASC 830-30: When foreign currency is functional currency, use translation (current rate method). Monetary & nonmonetary assets at current rate.",Translation - use average rate for all assets; Remeasurement - use temporal method,"ASC 830-30-45-3, ASC 830-30-45-9"
BAR-MCQ-FORE-0127,"ASC 830-30: When foreign currency is functional currency, use translation (current rate method). Monetary & nonmonetary assets at current rate.",Translation - use average rate for all assets; Remeasurement - use temporal method,"ASC 830-30-45-3, ASC 830-30-45-9"
BAR-MCQ-FORE-0128,"ASC 830-30: When foreign currency is functional currency, use translation (current rate method). Monetary & nonmonetary assets at current rate.",Remeasurement - use temporal method; No translation - functional currency = reporting currency,"ASC 830-30-45-3, ASC 830-30-45-9"
BAR-MCQ-FORE-0129,"ASC 830-30: When foreign currency is functional currency, use translation (current rate method). Monetary & nonmonetary assets at current rate.",No translation - functional currency = reporting currency; Remeasurement - use temporal method,"ASC 830-30-45-3, ASC 830-30-45-9"
BAR-MCQ-FORE-0130,"ASC 830-30: When foreign currency is functional currency, use translation (current rate method). Monetary & nonmonetary assets at current rate.",No translation - functional currency = reporting currency; Translation - use average rate for all assets,"ASC 830-30-45-3, ASC 830-30-45-9"
BAR-MCQ-FORE-0131,"ASC 830-30: When foreign currency is functional currency, use translation (current rate method). Monetary & nonmonetary assets at current rate.",No translation - functional currency = reporting currency; Translation - use average rate for all assets,"ASC 830-30-45-3, ASC 830-30-45-9"
BAR-MCQ-FORE-0132,"ASC 830-30: When foreign currency is functional currency, use translation (current rate method). Monetary & nonmonetary assets at current rate.",Remeasurement - use temporal method; No translation - functional currency = reporting currency,"ASC 830-30-45-3, ASC 830-30-45-9"
